"","depth_mm","Ca"
"2440",239.175,478.013043478261
"2441",239.275,494.65652173913
"2442",239.375,484.386956521739
"2443",239.475,474.734782608696
"2444",239.575,488.682608695652
"2445",239.675,476.45652173913
"2446",239.775,478.821739130435
"2447",239.875,474.260869565217
"2448",239.975,484.678260869565
"2449",240.075,488.782608695652
"2450",240.175,496.465217391304
"2451",240.275,503.639130434783
"2452",240.375,490.45652173913
"2453",240.475,491.695652173913
"2454",240.575,498.073913043478
"2455",240.675,509.830434782609
"2456",240.775,515.54347826087
"2457",240.875,499.508695652174
"2458",240.975,507.334782608696
"2459",241.075,507.408695652174
"2460",241.175,509.560869565217
"2461",241.275,517.478260869565
"2462",241.375,516.065217391304
"2463",241.475,527.908296943231
"2464",241.575,537.458515283843
"2465",241.675,516.196506550218
"2466",241.775,513.752173913044
"2467",241.875,516.121739130435
"2468",241.975,510.473913043478
"2469",242.075,502.395652173913
"2470",242.175,506.308695652174
"2471",242.275,499.078260869565
"2472",242.375,511.682608695652
"2473",242.475,513.134782608696
"2474",242.575,517.621739130435
"2475",242.675,517.169565217391
"2476",242.775,515.713043478261
"2477",242.875,507.647826086957
"2478",242.975,531.995652173913
"2479",243.075,520.765217391304
"2480",243.175,517.021739130435
"2481",243.275,535.395652173913
"2482",243.375,530.652173913043
"2483",243.475,536.282608695652
"2484",243.575,539.726086956522
"2485",243.675,546.262008733624
"2486",243.775,555.366812227074
"2487",243.875,538.326086956522
"2488",243.975,532.595652173913
"2489",244.075,536.493449781659
"2490",244.175,537.117903930131
"2491",244.275,537.135964912281
"2492",244.375,529.652173913043
"2493",244.475,530.904347826087
"2494",244.575,528.721739130435
"2495",244.675,518.017467248908
"2496",244.775,523.07423580786
"2497",244.875,507.117903930131
"2498",244.975,517.330434782609
"2499",245.075,512.830434782609
"2500",245.175,510.373913043478
"2501",245.275,513.413043478261
"2502",245.375,500.130434782609
"2503",245.475,494.386956521739
"2504",245.575,502.539130434783
"2505",245.675,502.05652173913
"2506",245.775,500.673913043478
"2507",245.875,508.952173913043
"2508",245.975,518.904347826087
"2509",246.075,498.234782608696
"2510",246.175,478.308695652174
"2511",246.275,488.265217391304
"2512",246.375,478.808695652174
"2513",246.475,468.004347826087
"2514",246.575,482.282608695652
"2515",246.675,482.573913043478
"2516",246.775,486.204347826087
"2517",246.875,478.682608695652
"2518",246.975,491.952173913043
"2519",247.075,485.252173913043
"2520",247.175,486.087336244541
"2521",247.275,487.147826086957
"2522",247.375,485.752173913043
"2523",247.475,494.314410480349
"2524",247.575,492.965217391304
"2525",247.675,483.604347826087
"2526",247.775,478.521739130435
"2527",247.875,482.865217391304
"2528",247.975,477.421739130435
"2529",248.075,474.839130434783
"2530",248.175,485.121739130435
"2531",248.275,497.617391304348
"2532",248.375,479.347826086957
"2533",248.475,465.213043478261
"2534",248.575,468.808695652174
"2535",248.675,457.613043478261
"2536",248.775,463.360869565217
"2537",248.875,439.439130434783
"2538",248.975,437.760869565217
"2539",249.075,441.360869565217
"2540",249.175,437.826086956522
"2541",249.275,443.660869565217
"2542",249.375,420.721739130435
"2543",249.475,397.917391304348
"2544",249.575,401.334782608696
"2545",249.675,412.682608695652
"2546",249.775,419.521739130435
"2547",249.875,417.652173913043
"2548",249.975,413.334782608696
"2549",250.075,414.430434782609
"2550",250.175,419.7
"2551",250.275,417.282608695652
"2552",250.375,408.373913043478
"2553",250.475,394.85652173913
"2554",250.575,393.173913043478
"2555",250.675,369.226086956522
"2556",250.775,369.586956521739
"2557",250.875,365.852173913043
"2558",250.975,370.8
"2559",251.075,368.521739130435
"2560",251.175,368.186956521739
"2561",251.275,364.978260869565
"2562",251.375,371.352173913043
"2563",251.475,380.734782608696
"2564",251.575,407.995652173913
"2565",251.675,429.813043478261
"2566",251.775,457.591304347826
"2567",251.875,468.004347826087
"2568",251.975,482.157205240175
"2569",252.075,496.25327510917
"2570",252.175,500.917391304348
"2571",252.275,505.265217391304
"2572",252.375,519.008695652174
"2573",252.475,525.308695652174
"2574",252.575,542.517391304348
"2575",252.675,552.45652173913
"2576",252.775,565.491304347826
"2577",252.875,547.013043478261
"2578",252.975,550.1
"2579",253.075,566.921739130435
"2580",253.175,554.995652173913
"2581",253.275,565.117391304348
"2582",253.375,568.621739130435
"2583",253.475,553.4
"2584",253.575,567.739130434783
"2585",253.675,558.626086956522
"2586",253.775,571.969565217391
"2587",253.875,560.934782608696
"2588",253.975,558.813043478261
"2589",254.075,560.065217391304
"2590",254.175,564.513043478261
"2591",254.275,573.321739130435
"2592",254.375,573.55652173913
"2593",254.475,564.373913043478
"2594",254.575,588.791304347826
"2595",254.675,589.078260869565
"2596",254.775,587.886462882096
"2597",254.875,588.491304347826
"2598",254.975,594.308695652174
"2599",255.075,582.934782608696
"2600",255.175,560.286956521739
"2601",255.275,575.34347826087
"2602",255.375,568.195652173913
"2603",255.475,550.265217391304
"2604",255.575,570
"2605",255.675,547.630434782609
"2606",255.775,548.417391304348
"2607",255.875,557.45652173913
"2608",255.975,544.908695652174
"2609",256.075,542.04347826087
"2610",256.175,532.573913043478
"2611",256.275,528.069565217391
"2612",256.375,528.713043478261
"2613",256.475,521.873913043478
"2614",256.575,537.473913043478
"2615",256.675,523
"2616",256.775,523.017391304348
"2617",256.875,517.326086956522
"2618",256.975,510.85652173913
"2619",257.075,505.35652173913
"2620",257.175,515.769565217391
"2621",257.275,522.682608695652
"2622",257.375,506.769565217391
"2623",257.475,503.739130434783
"2624",257.575,520.947826086957
"2625",257.675,505.169565217391
"2626",257.775,503.908695652174
"2627",257.875,506.278260869565
"2628",257.975,476.717391304348
"2629",258.075,483.765217391304
"2630",258.175,493.786956521739
"2631",258.275,498.004347826087
"2632",258.375,492.408695652174
"2633",258.475,480.139130434783
"2634",258.575,490.6
"2635",258.675,472.665217391304
"2636",258.775,458.521739130435
"2637",258.875,445.1
"2638",258.975,434.321739130435
"2639",259.075,442.195652173913
"2640",259.175,435.573913043478
"2641",259.275,430.795652173913
"2642",259.375,414.1
"2643",259.475,407.073913043478
"2644",259.575,402.839130434783
"2645",259.675,369.378260869565
"2646",259.775,375.530434782609
"2647",259.875,376.821739130435
"2648",259.975,369.386956521739
"2649",260.075,381.573913043478
"2650",260.175,381.339130434783
"2651",260.275,397.186956521739
"2652",260.375,411.647826086957
"2653",260.475,429.978260869565
"2654",260.575,450.073913043478
"2655",260.675,457.739130434783
"2656",260.775,476.960869565217
"2657",260.875,482.930434782609
"2658",260.975,519.621739130435
"2659",261.075,529.545851528384
"2660",261.175,532.604347826087
"2661",261.275,545.782608695652
"2662",261.375,552.452173913043
"2663",261.475,543.691304347826
"2664",261.575,556.173913043478
"2665",261.675,573.821739130435
"2666",261.775,580.45652173913
"2667",261.875,570.652173913043
